label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank01,Blank02,Blank03,Blank04,t0_a146,t0_a146_500uM_valine,t0_a147,t0_a147_250uM_valine,t0_a148,t0_a149,t0_a150,t0_a151,t90_a146,t90_a147,t90_a148,t90_a149,t90_a150,t120_a146,t120_a147,t120_a148,t120_a149,t120_a150,t120_a151
NaN,1,1,1,116.071693,11.166,0.608537,[M-H]-,C12 PARENT,valine,valine,C5H11NO2,0.03,0.06573,116.071693,97568.283739262,164810.422786003,138944.222940834,145840.535616871,6465341.58717709,8611893.40121386,4509507.04223148,1319371.98283338,7111888.37722796,9384219.25925008,6387784.66600092,6579064.18637632,12659514.6118299,13918243.4757938,13002757.1374106,17930480.6067881,16760492.8285215,15736640.0847476,10753037.1075063,14233147.5075341,18631046.9758989,20661316.0634444,22396242.7029104
NaN,1,2,3,117.075027,11.188,0.704491,,C13-label-1,valine,valine,C5H11NO2,0.052,0.260667,116.071693,0,0,0,1650.80442742877,5637.03242513874,18153.0694219442,2730.69513704026,0,0,0,9973.87817014797,15703.4695116295,35441.8726263461,0,14214.9075885912,0,48974.5204823981,12205.8863757488,3789.35977047078,0,42486.164787592,7315.69498378768,33063.2044943257
NaN,1,3,18,118.078384,11.16,0.710937,,C13-label-2,valine,valine,C5H11NO2,0.024,0.193839,116.071693,0,0,0,0,405.518455698288,19123.7186912529,0,3305.57663248448,0,0,212.909886989919,804.110050485612,1511.77494797965,3193.94659746666,3921.59162237926,4251.72405600095,4327.21537537744,1815.37620929921,3256.28013889407,5400.0415801074,556.6263656928,3291.61382689859,5579.28993662758
NaN,1,4,10,119.081665,11.161,0.745045,,C13-label-3,valine,valine,C5H11NO2,0.025,0.832891,116.071693,0,0,0,0,0,96161.0520706565,0,7216.66812084607,0,0,0,0,2027.65821069671,4484.53307582706,1702.84516722867,395.944356208551,6545.14538441937,9373.68854535736,5620.01787863332,3595.98819836265,6019.32080260574,10014.2855740232,9191.2646651607
NaN,5,6,0,120.085068,11.159,0.242409,,C13-label-4,valine,valine,C5H11NO2,0.023,0.444733,0,0,0,0,0,0,0,0,0,0,144.646317441505,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,5,7,1,121.088387,11.254,0.74662,,C13-label-5,valine,valine,C5H11NO2,0.118,0.756081,0,1221.35132232318,853.89113970989,845.863846679204,689.783099723865,32270.9111414267,46033953.4648585,11191.41374382,4801373.21395332,4944.37943057078,7452.33218364888,1311.80139959982,1384.24640661621,3152791.2440713,2886825.80203255,2773141.58170437,3440200.87044914,4107790.57335737,4081406.04196113,2770109.99535873,2994283.99271122,3754837.68441992,4839335.36708053,5247827.9636431
NaN,8,8,0,179.056046,11.887,0.281306,[M-H]-,C12 PARENT,Glucose,Glucose,C6H12O6,0.137,0.340872,179.056046,32796.4203891698,119172.023342426,57067.0713263278,55547.916782914,52022964.8975456,52877855.0399614,48911625.1793412,12671151.3456741,37981306.5544825,45110246.6595149,42900531.9877181,42780039.3859931,27797300.4573461,45036959.7883194,37514245.4903591,42995207.2983467,50909386.6990067,24868416.3932372,40935783.5976142,35549257.3421747,39137647.8955402,44546694.0376665,46982319.2359421
NaN,8,9,2,180.059372,11.887,0.715466,,C13-label-1,Glucose,Glucose,C6H12O6,0.137,0.508458,179.056046,0,0,1239.77741782443,0,174010.228293343,163436.13739169,101213.733107989,56435.7649402315,141483.856401052,154260.402462477,125960.733514794,173281.945627324,98912.0137809375,207099.965105911,166888.862765204,249818.733738638,183030.770433456,114955.986260188,173234.762126135,194951.619860395,185209.138698682,208044.398555338,149428.420117261
NaN,8,10,12,181.062531,11.877,0.722611,,C13-label-2,Glucose,Glucose,C6H12O6,0.127,1.601196,179.056046,0,0,0,586.077171938631,0,0,0,0,0,0,0,0,9073.41283849932,19813.331527667,33846.2387398946,22823.8216453797,43964.4584620114,9342.9462539278,37363.5361100073,51280.2732387437,31515.3665602798,61129.482046742,59412.5675606445
NaN,8,11,10,182.066055,11.887,0.698296,,C13-label-3,Glucose,Glucose,C6H12O6,0.137,0.670472,179.056046,0,0,0,0,0,527.256968903351,3691.60023297601,256.624037971119,671.450143726735,579.76032700337,0,0,10556.5538951859,31020.4936605403,24544.6465633115,21442.2626825009,28134.4947214765,13866.7435146994,23911.9064148308,26098.8219880424,28023.6836319856,35365.8528091885,33504.48077877
