label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank01,Blank02,Blank03,Blank04,t0_a146,t0_a146_500uM_valine,t0_a147,t0_a147_250uM_valine,t0_a148,t0_a149,t0_a150,t0_a151,t90_a146,t90_a147,t90_a148,t90_a149,t90_a150,t120_a146,t120_a147,t120_a148,t120_a149,t120_a150,t120_a151
,1,1,1,116.071693,11.166,0.608537,[M-H]-,C12 PARENT,valine,valine,C5H11NO2,0.030,0.065730,116.071693,92264.49,155658.56,131218.67,137717.36,6104602.50,8131488.00,4257880.50,1245820.38,6715534.00,8860547.00,6031414.50,6212074.00,11953397.00,13141569.00,12277285.00,16930752.00,15825652.00,14858587.00,10153010.00,13438943.00,17591760.00,19508400.00,21146754.00
,1,2,3,117.075027,11.188,0.704491,,C13-label-1,valine,valine,C5H11NO2,0.052,0.260667,116.071693,2378.54,7582.94,6578.32,9017.26,335462.41,457285.09,232969.94,66056.83,353608.12,479074.62,335598.62,350793.28,679940.69,710372.69,677444.94,899629.06,902188.06,815102.50,552704.81,725703.75,991494.75,1061965.62,1174936.50
,1,3,18,118.078384,11.160,0.710937,,C13-label-2,valine,valine,C5H11NO2,0.024,0.193839,116.071693,0.00,0.00,0.00,0.00,7759.91,31359.29,2106.84,4844.42,5718.77,10031.92,7667.72,8673.54,16937.62,18544.94,18716.97,24177.71,24819.53,19886.30,15289.87,20969.94,23033.59,26548.03,31661.88
,1,4,10,119.081665,11.161,0.745045,,C13-label-3,valine,valine,C5H11NO2,0.025,0.832891,116.071693,0.00,0.00,0.00,0.00,0.00,145024.83,0.00,12654.69,0.00,0.00,0.00,0.00,5881.84,8015.65,5251.08,4825.10,11372.56,14029.07,8748.00,7478.58,10451.85,15460.60,15215.32
,5,6,0,120.085068,11.159,0.242409,,C13-label-4,valine,valine,C5H11NO2,0.023,0.444733,0.000000,0.00,0.00,0.00,0.00,876.08,1734936.50,0.00,174001.00,0.00,495.84,0.00,0.00,114408.10,101143.19,97704.38,123462.16,152159.64,145592.48,104856.13,100132.66,135010.94,181203.38,198706.08
,5,7,1,121.088387,11.254,0.746620,,C13-label-5,valine,valine,C5H11NO2,0.118,0.756081,0.000000,1160.80,811.56,803.93,655.59,30627.29,43664992.00,10636.65,4554633.00,4699.37,7066.56,1246.88,1315.77,2990760.25,2738647.00,2630768.00,3263465.75,3896529.25,3871784.00,2627534.00,2840826.75,3561932.00,4590356.50,4977720.50
,8,8,0,179.056046,11.887,0.281306,[M-H]-,C12 PARENT,Glucose,Glucose,C6H12O6,0.137,0.340872,179.056046,30776.34,111760.53,53511.33,52149.18,48772780.00,49574116.00,45855244.00,11879637.00,35608532.00,42291964.00,40220100.00,40107604.00,26060704.00,42223780.00,35170912.00,40310052.00,47728916.00,23315046.00,38378640.00,33329014.00,36693012.00,41764172.00,44047004.00
,8,9,2,180.059372,11.887,0.715466,,C13-label-1,Glucose,Glucose,C6H12O6,0.137,0.508458,179.056046,1535.61,6676.29,4644.19,2259.66,3328917.00,3371569.25,3071113.25,824124.81,2443686.00,2889993.25,2729193.75,2765628.75,1784161.12,2934758.25,2439604.00,2850698.75,3269882.25,1621041.12,2653786.75,2346730.00,2555524.25,2906594.75,2999714.00
,8,10,12,181.062531,11.877,0.722611,,C13-label-2,Glucose,Glucose,C6H12O6,0.127,1.601196,179.056046,0.00,0.00,0.00,665.87,83565.19,73885.85,78116.96,18959.00,66751.04,67975.68,59151.04,73530.95,59571.69,104091.84,102682.35,105460.78,135147.36,55914.39,111920.77,117302.99,104189.98,142285.98,141651.80
,8,11,10,182.066055,11.887,0.698296,,C13-label-3,Glucose,Glucose,C6H12O6,0.137,0.670472,179.056046,0.00,0.00,0.00,0.00,0.00,2571.69,4975.19,746.72,1776.59,2207.39,1606.73,1198.19,11078.17,31313.48,25563.53,22414.59,29690.83,14154.43,25198.45,27719.73,28803.18,37074.77,35245.55
,8,12,3,185.076248,11.848,0.649578,,C13-label-6,Glucose,Glucose,C6H12O6,0.098,0.000000,179.056046,0.00,23257.92,9270.02,6258.56,0.00,0.00,0.00,0.00,0.00,1879.34,0.00,0.00,0.00,0.00,4508.68,0.00,2098.83,0.00,0.00,0.00,0.00,0.00,0.00
,13,13,5,130.087280,9.335,0.785205,[M-H]-,C12 PARENT,leucine,leucine,C6H13NO2,0.043,0.586482,130.087280,408779.50,649511.31,655327.25,583504.44,10146837.00,10764007.00,6296716.50,2007343.62,9572155.00,12698636.00,8512864.00,9029119.00,11006157.00,15374677.00,14577629.00,19034224.00,18275642.00,13284813.00,10241330.00,15188325.00,19315800.00,21936950.00,24669586.00
,13,14,0,131.090622,9.338,0.127428,,C13-label-1,leucine,leucine,C6H13NO2,0.046,0.581994,130.087280,25304.06,48713.17,37727.91,39813.74,656798.25,740369.50,394001.75,134822.00,654004.25,837780.50,561484.81,584700.19,698504.56,1025946.81,958277.50,1232695.50,1215278.88,841792.44,676716.50,984206.31,1295347.25,1449952.00,1625560.00
,13,15,1,132.093964,9.357,0.509558,,C13-label-2,leucine,leucine,C6H13NO2,0.065,0.693087,130.087280,0.00,523.54,788.86,515.16,17347.08,25248.57,8557.75,2743.43,18102.80,20344.01,13253.14,15322.62,17739.04,24324.80,25952.47,33769.68,29894.19,25393.78,16576.78,26871.00,33737.41,35509.86,44142.14
