Compound	Formula	HMDB ID	Synonyms
2-hydroxyglutarate	C5H8O5	HMDB0059655	
3-hydroxybutyrate	C4H8O3	HMDB0000011	3HB;BHB;beta-hydryoxybutyric acid;beta-hydroxybutyrate;3-hydroxybutyric acid;3-HB;B-HB
a-ketoglutarate	C5H6O5	HMDB0000208	2-ketoglutarate;2-ketoglutaric acid;alpha-ketoglutaric acid;a-ketoglutaric acid;oxoglutarate;2-oxoglutarate;2-oxoglutaric acid
alanine	C3H7NO2	HMDB0000161	ala;L-alanine
arginine	C6H14N4O2	HMDB0000517	arg
asparagine	C4H8N2O3	HMDB0000168	asn
aspartate	C4H7NO4	HMDB0000191	aspartic acid;asp
C16:0	C16H32O2	HMDB0000220	palmitate;PA;C16;C16 fatty acid;hexadecanoate;hexadecoic acid; palmitic acid
C18:1	C18H34O2	HMDB0000207	cis-oleate;18:1 FA;cis-9-octadecenoic acid; oleic acid
C18:2	C18H32O2	HMDB0000673	linoleate;LA;9,12-Octadecadienoic acid; linoleic acid
carnosine	C9H14N4O3	HMDB0000033	Carnosine
citrate	C6H8O7	HMDB0000094	citric acid
citrulline	C6H13N3O3	HMDB0000904	
creatine	C4H9N3O2	HMDB0000064	
creatinine	C4H7N3O	HMDB0000562	Creatinine
dihydroxy-acetone-phosphate	C3H7O6P	HMDB0001473	dihydroxyacetone phosphate;DHAP
fructose-1-6-bisphosphate	C6H14O12P2	HMDB0001058	Fructose 1,6-bisphosphate;Fructose-1,6-diphosphate;Fructose 1,6-diphosphate;Diphosphofructose
fumarate	C4H4O4	HMDB0000134	fumaric acid
glucose	C6H12O6	HMDB0000122	dextrose;Glucose;D-Glucose
glucose-6-phosphate	C6H13O9P	HMDB0001401	GLC6p;G6P
glutamate	C5H9NO4	HMDB0000148	glu;2-aminoglutarate;2-aminoglutaric acid
glutamine	C5H10N2O3	HMDB0000641	gln
glycerol	C3H8O3	HMDB0000131	
glycerol-3-phosphate	C3H9O6P	HMDB0000126	glycerol 3-phosphate;glycerophosphate;G3P
glycine	C2H5NO2	HMDB0000123	2-aminoacetate
histidine	C6H9N3O2	HMDB0000177	his
homocarnosine	C10H16N4O3	HMDB0000745	
isocitrate	C6H8O7	HMDB0000193	
isoleucine	C6H13NO2	HMDB0000172	ile
lactate	C3H6O3	HMDB0000190	lactic acid;2-hydroxypropanoate;2-hydroxypropanoic acid
leucine	C6H13NO2	HMDB0000687	leu
lysine	C6H14N2O2	HMDB0000182	lys
malate	C4H6O5	HMDB0000156	malic acid;hydroxysuccinate;hydroxysuccinic acid
methionine	C5H11NO2S	HMDB0000696	met
ornithine	C5H12N2O2	HMDB0000214	
phenylalanine	C9H11NO2	HMDB0000159	phe
proline	C5H9NO2	HMDB0000162	(2S)-pyrrolidine-2-carboxylic acid
pyruvate	C3H4O3	HMDB0000243	pyruvic acid;2-ketopropionic acid;2-oxopropanoic acid;2-oxopropanoate;2-ketopropionate
serine	C3H7NO3	HMDB0000187	ser
C18:0	C18H36O2	HMDB0000827	octadecanoic acid;stearate; stearic acid
succinate	C4H6O4	HMDB0000254	succinic acid
taurine	C2H7NO3S	HMDB0000251	2-Aminoethanesulfonic acid
threonine	C4H9NO3	HMDB0000167	thr
tryptophan	C11H12N2O2	HMDB0000929	trp
tyrosine	C9H11NO3	HMDB0000158	tyr
urea	CH4N2O	HMDB0000294	
valine	C5H11NO2	HMDB0000883	val
2-keto-isovalerate	C5H8O3	HMDB0000019	2-Ketoisovaleric acid; 
3-hydroxyisobutyrate	C4H8O3	HMDB0000023	3-HIBA; 3-Hydroxyisobutyric acid
sedoheptoluse-7-phosphate	C7H15O10P	HMDB0001068	alpha-D-Sedoheptulose 7-phosphate; Sedoheptulose 7-phosphate; D-Sedoheptulose 7-phosphate
3-phosphoglycerate	C3H7O7P	HMDB0000807	3-Phosphoglycerate; Glycerate 3-phosphate; 3-PG
