Sample Name	Date Collected	Researcher Name	Tissue	Collection Time	Animal ID
bat-xz969	11/18/2020	Xianfeng Zeng	brown_adipose_tissue	150	969
Br-xz969	11/18/2020	Xianfeng Zeng	brain	150	969
dia-xz969	11/18/2020	Xianfeng Zeng	diaphragm	150	969
gas-xz969	11/18/2020	Xianfeng Zeng	gastrocnemius	150	969
gwat-xz969	11/18/2020	Xianfeng Zeng	white_adipose_tissue_gonadal	150	969
H-xz969	11/18/2020	Xianfeng Zeng	heart	150	969
Kid-xz969	11/18/2020	Xianfeng Zeng	kidney	150	969
Liv-xz969	11/18/2020	Xianfeng Zeng	liver	150	969
Lu-xz969	11/18/2020	Xianfeng Zeng	lung	150	969
Pc-xz969	11/18/2020	Xianfeng Zeng	pancreas	150	969
q-xz969	11/18/2020	Xianfeng Zeng	quadricep	150	969
si-xz969	11/18/2020	Xianfeng Zeng	small_intestine	150	969
sol2-xz969	11/18/2020	Xianfeng Zeng	soleus	150	969
sol-xz969	11/18/2020	Xianfeng Zeng	soleus	150	969
Sp-xz969	11/18/2020	Xianfeng Zeng	spleen	150	969
bat-xz970	2020-11-19	Xianfeng Zeng	brown_adipose_tissue	150	970
Br-xz970	2020-11-19	Xianfeng Zeng	brain	150	970
dia-xz970	2020-11-19	Xianfeng Zeng	diaphragm	150	970
gas-xz970	2020-11-19	Xianfeng Zeng	gastrocnemius	150	970
gwat-xz970	2020-11-19	Xianfeng Zeng	white_adipose_tissue_gonadal	150	970
H-xz970	2020-11-19	Xianfeng Zeng	heart	150	970
Kid-xz970	2020-11-19	Xianfeng Zeng	kidney	150	970
Liv-xz970	2020-11-19	Xianfeng Zeng	liver	150	970
Lu-XZ970	2020-11-19	Xianfeng Zeng	lung	150	970
Pc-xz970	2020-11-19	Xianfeng Zeng	pancreas	150	970
q-xz970	2020-11-19	Xianfeng Zeng	quadricep	150	970
si-xz970	2020-11-19	Xianfeng Zeng	small_intestine	150	970
sol-xz970	2020-11-19	Xianfeng Zeng	soleus	150	970
Sp-xz970	2020-11-19	Xianfeng Zeng	spleen	150	970
BAT-xz971	2020-11-19	Xianfeng Zeng	brown_adipose_tissue	150	971
Br-xz971	2020-11-19	Xianfeng Zeng	brain	150	971
Dia-xz971	2020-11-19	Xianfeng Zeng	diaphragm	150	971
