Compound	C_Label	bat-xz969	bat-xz970	Br-xz969	Br-xz970	dia-xz969	dia-xz970	gas-xz969	gas-xz970	gwat-xz969	gwat-xz970	H-xz969	H-xz970	Kid-xz969	Kid-xz970	Liv-xz969	Liv-xz970	Lu-xz969	Lu-XZ970	Pc-xz969	Pc-xz970	q-xz969	q-xz970	si-xz969	si-xz970	sol2-xz969	sol-xz969	sol-xz970	Sp-xz969	Sp-xz970	BAT-xz979	Br-xz979	Dia-xz979	Gas-xz979	gwat-xz979	H-xz979	Kd-xz979	Liv-xz979	Lu-xz979	Pc-xz979	Q-xz979	SI-xz979	Sol-xz979	Sp-xz979
glucose	0	1	0.970297744859243	1	0.958596619589929	0.962818512165526	0.975420485622285	1	0.994839939121222	1	1	0.976640736470216	1	1	0.972259611081942	0.973088455796708	0.972559498269481	0.97204725595939	0.974888252188809	0.994844686707637	0.974195799499894	0.982574749712203	0.987778760004466	1	1	0.983962750820367	0.920579357700601	0.984543847309538	0.980734377702084	0.977340249259136	0.999161965522508	0.994565753353316	0.987186457860145	0.98668331715681	0.990146398981426	0.985330600362958	0.97855615248271	0.982624411790265	0.986306029993262	0.983229685403459	0.998882089306946	0.985680939396976	0.990861623002103	0.983989503659784
glucose	1	0	0.027123963867148	0	0.002726627250277	0.037181487834474	0.021048320602557	0	0.003855419454385	0	0	0.020680446526366	0	0	0.014535484279745	0.023828472027977	0.024610367115849	0.025413779142707	0.020981173206331	0	0.022181806996673	0.017425250287797	0.009542598082779	0	0	0	0	0.012822541934776	0.016748747987468	0.018825161772425	0	0.003763649088345	0.011421688992421	0.013225675849138	0.009551553581991	0.013094489696295	0.019898693784014	0.016401424443693	0.01276433717002	0.01553259763864	0	0.01258006937176	0.007509997928725	0.01463097432777
glucose	2	0	0.00257829127361	0	0	0	0.003531193775159	0	0.001217010478807	0	0	0.002173622293311	0	0	0.006727978833326	0.002938902034173	0.002577647646884	0.002538964897903	0.003739146782125	0.005155313292363	0.00355715222004	0	0.002428424946712	0	0	0	0.079420642299399	0.002102667281867	0.002361982102975	0.003609592713214	0	0.001332022982991	0.001391853147434	9.10069940512798E-05	0.000142512602711	0.001452848031863	0.001518149375151	0.000974163766043	0.000815259101777	0.001237716957902	0.001117910693054	0.001738285901874	0.000916886874278	0.001319895964016
glucose	3	0	0	0	0	0	0	0	8.76309455856182E-05	0	0	0.000321746229836	0	0	0.006369615878189	3.31817558655778E-05	2.24400236530239E-05	0	0.000391427822735	0	6.52412833931508E-05	0	0	0	0	0	0	0	0.000154892207474	0	0	0	0	0	0.000159534833873	0	2.70043581247908E-05	0	0	0	0	7.05329389546806E-07	0.000305415265377	5.96260484299183E-05
glucose	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00704048467416E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glucose	5	0	0	0	0.001787195773415	0	0	0	0	0	0	0	0	0	0.000107309926798	0.000110988385277	0	0	0	0	0	0	0	0	0	0.003462657222516	0	0	0	0.000224996255225	0	0	0	0	0	0	0	0	0	0	0	0	0.000406076929517	0
glucose	6	0	0	0	0.036889557386378	0	0	0	0	0	0	0.000183448480271	0	0	0	0	0.000139976539286	0	0	0	0	0	0.000250216966042	0	0	0.012574591957117	0	0.00053094347382	0	0	0.000838034477492	0.000338574575348	0	0	0	0.000122061908884	0	0	0.000114373734941	0	0	0	0	0
lactate	0	0.999320155100773	0.985757538510809	0.989800330891078	0.989718272807462	0.980432702113668	0.989590442449299	0.985470826593027	0.993003828830444	1	1	0.992883425583391	1	0.999102521725734	0.989252420774842	0.98892735316896	0.987293796464576	0.987837185836131	0.987673307528348	0.986698279799521	0.986841959319712	0.999553391090836	0.992237475732077	0.997506982273819	0.986933366137631	0.985868595077026	0.997998353564016	0.990271439428249	0.985035300128926	0.984390422893141	0.999491606882032	0.991552802944287	0.990043571438472	0.994802660783434	0.982081515877143	0.990627895780309	0.988323937637603	0.982918738319169	0.988927505100532	0.986961941794376	0.993555508448127	0.986821414327352	0.992889239262498	0.985780386992997
lactate	1	0	0.011976036406288	0.008600786478159	0.008658336886741	0	0.009082287197256	0	0.006104296269554	0	0	0.006426923655865	0	0	0.006296582766423	0.006936472427136	0.008888367054187	0.009947936093342	0.010575009120449	0.010642574296605	0.010102179267239	0	0.006420783517694	0	0	0.005184718676438	0	0.008479849318344	0.012550831671099	0.012455788087222	0	0.007904690290972	0.009129231584359	0.005034302085504	0.016620176774954	0.008799852066829	0.01065913137699	0.015951305871645	0.010176485552815	0.01205748357444	0.006256753650296	0.012045964394397	0.006651914408349	0.013033391351226
lactate	2	0.000679844899227	0.001665473566292	0.001119275950729	0.00124312911258	0	0.000728238060025	0	0.000569926399262	0	0	0.000413438901618	0	0.000897478274266	0.001941663289928	0.000771207043291	0.001604645946911	0.001510538715055	0.001126435120551	0.001203674812261	0.001071336165782	0.000446608909164	0.000887306347882	0.002493017726181	0	0.00282083252997	0.002001646435984	0.000863158148231	0.001632283369907	0.001678472011807	0.000508393117968	0.000542506764741	0.000827196977169	0.000163037131062	0.001298307347902	0.000572252152863	0.001016930985408	0.001129955809186	0.000680674148459	0.000980574631184	0.000187737901578	0.001132621278251	0.000458846329153	0.001186221655777
