Compound	C_Label	BAT-xz971	BAT-xz972	Br-xz971	Br-xz972	Dia-xz971	Dia-xz972	gas-xz971	gas-xz972	gWAT-xz971	gWAT-xz972	H-xz971	H-xz972	Kid-xz971	Kid-xz972	Liv-xz971	Liv-xz972	Lu-xz971	Lu-xz972	Pc-xz971	Pc-xz972	Q-xz971	Q-xz972	SI-xz971	SI-xz972	Sol-xz971	Sol-xz972	Sp-xz971	Sp-xz972	BAT-xz981	BAT-xz982	blank	Br-xz981	Br-xz982	Dia-xz981	Dia-xz982	gas-xz981	Gas-xz982	gwat-xz981	gwat-xz982	H-xz981	H-xz982	Kd-xz981	Kd-xz982	Liv-xz981	Liv-xz982	Lu-xz981	Lu-xz982	Pc-xz981	Pc-xz982	Q-xz981	Q-xz982	SI-xz981	SI-xz982	sol-xz981	sol-xz982	Sp-xz981	Sp-xz982
Glucose	0	9553199.891	15062527.05	481379.8694	1214183.285	6352156.806	9843282.537	7311072.867	6591031.603	10836076.47	7035582.289	8844540.095	6381201.364	28612722.48	11268746.08	40317702.59	28717912.94	11705516.3	19940447.14	6646281.047	6862170.8	9169550.942	2922071.637	16907675.46	59306.24127	2537065.363	3401333.737	8223461.13	7686201.301	1858098.909	496958.2762	12449.95255	940317.7608	1105504.377	16365111.79	22326400.79	12572665.59	16690807.43	2908265.855	1487821.776	4281853.848	6138834.307	21133407.3	18423492.2	63943251.65	66653756.95	21132694.41	22541773.82	8374489.114	8871073.243	12572038.99	11271950.72	4789024.258	4286778.786	4739683.608	4585710.943	11487828.36	10816139.08
Glucose	1	20483.78599	304251.1276	0	0	0	97670.99135	0	32261.50622	0	84441.85611	0	52232.73438	103580.6862	333776.8341	168375.1598	420753.0279	0	246217.2167	0	62558.75607	3678.488044	0	45362.03974	300.4050036	0	7266.313182	0	28078.41932	0	0	0	0	0	108935.4471	100107.5366	4671.602852	55243.87965	5692.031113	0	0	19305.87228	175292.1264	203214.5932	416324.5636	329304.6446	246590.0274	239652.337	55328.30437	63956.93499	67344.978	13694.77369	20916.97371	19176.64075	0	15090.89047	102810.4486	90198.26554
Glucose	2	7796.524084	92931.18887	0	5672.580601	6139.252453	61770.40478	4548.242248	78015.09431	5748.492184	50072.33487	15947.43227	34938.7371	31611.62273	40093.46938	47831.83799	262581.5618	17062.56257	152206.6642	7056.080516	39923.1941	10273.73083	12236.48475	26900.71669	0	0	24555.83929	14684.27603	44338.27059	2534.021867	0	0	0	0	33162.45298	29099.88376	10582.4086	9887.36343	5304.461099	0	13745.56074	9587.933942	44818.20214	38502.97086	65336.09641	79247.51433	43902.30818	53369.10917	18144.87559	12639.10588	9315.92081	1803.652657	13999.95752	6286.646211	6615.176408	6641.52719	22913.18738	23451.97625
Glucose	3	17014.40153	105644.816	0	5625.855894	7089.492648	70741.42184	0	27892.8252	7942.907741	49712.81637	11076.48197	41374.75699	41976.30867	3664.063461	65245.02745	216497.552	13429.70367	136751.2352	11608.27578	47488.2854	12093.56194	16607.14558	15492.65982	0	3527.327085	17017.66475	11564.9639	48907.95759	1725.20354	0	0	0	0	22316.32293	22779.94485	10930.64497	13292.8766	5310.386033	906.0119902	5158.917289	10125.60427	29239.65867	29267.11736	70259.38988	82562.29627	34880.63388	34245.30533	10944.99754	14457.02062	7517.958878	6444.055826	3955.95864	9227.46887	4735.264956	6190.003449	22133.99147	17244.71605
Glucose	4	618.0816518	0	0	0	0	87.74426904	0	0	0	0	0	0	0	0	0	259.5350754	0	0	0	0	1108.493263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1386.663909	0	0	630.4952752	0	0	0	0	0	0	0	0	0	0
Glucose	5	0	0	0	0	0	0	0	0	6191.558636	0	1540.286397	0	0	0	0	0	0	0	0	2654.481221	0	0	0	1017.101953	0	0	0	1559.980854	0	0	745.3494282	1160.758363	0	2850.741651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1097.721296	1036.134833	0	0
Glucose	6	0	0	0	0	0	0	1086.845428	0	0	0	0	0	0	0	0	0	0	0	2135.948029	0	3136.574678	0	1907.723004	0	3414.351068	0	0	0	0	0	0	0	1945.29462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1448.022237	1128.275518	0	2055.123386
lactate	0	75685330.61	99209994.36	142624139.9	247760286.3	139501627.4	87029819.67	176980460.1	210292696.3	17594038.98	20404384.24	241525542.5	247763720.7	113474481.3	44136794.61	33001363.09	49551809.46	96922646.97	107226485.1	39039993.74	50073420.14	201963987.3	97963178.19	82867889.38	5098786.556	106187895	131169276.6	40809231.28	73704648.6	51010586.72	32271751.64	1287146.211	233188299.8	242558527.6	212371524.2	255053358.1	273797603.8	379982362.9	9706583.284	5699008.692	352911675.4	331051194.9	199876388.4	187387126.5	121798230.5	111387756.8	157196352.1	160319658.4	56736208.26	51114323.38	321683597.1	317510628	114512244.4	117634520.6	144705238.4	148869752.8	88590367.7	97856208.68
lactate	1	142847.402	523531.4787	427667.9328	1749061.029	353682.9863	473612.1983	371095.4271	613361.3991	26935.84761	84783.50327	579936.4759	1411231.221	360185.1926	513362.2002	97916.50512	374892.3254	221186.2012	508920.7025	63173.8981	268362.1568	618607.7169	276073.1794	234495.3013	6218.112696	260672.1714	720480.646	123590.2396	404190.6847	249485.4544	183046.9146	0	1435834.017	1387851.8	947188.368	1205672.673	733306.3802	1306593.713	68271.82254	7183.464686	1557069.489	1330416.693	1160055.572	786326.6136	851082.634	815082.6467	723022.8347	717249.6173	283185.4675	286705.9641	1116241.094	1980105.6	691579.5045	792239.4241	534395.7254	516435.3486	582029.8945	561894.3219
lactate	2	24301.3351	161279.2452	61771.42664	666005.3871	83836.39961	144890.974	32078.09411	124673.5203	7048.365931	20943.46	19101.72927	109937.2866	49892.28672	69686.16741	7667.154321	103036.0185	36552.2011	135392.0876	11542.2165	66544.85247	19434.4853	69503.30284	25372.56407	7651.642065	27137.30564	240622.3991	12000.76861	125524.5649	39554.06328	26159.14401	0	185522.6203	210665.6821	130668.0951	128951.711	0	43548.15017	5057.297878	4011.551418	192204.3791	153408.4948	197562.0837	183392.4391	139001.9192	138519.5283	77994.36874	93802.62464	40069.22832	34455.65477	44678.49691	14551.32234	113697.8347	0	72148.18554	59122.27687	74876.38524	99298.46612
lactate	3	125043.6094	201720.2269	104907.1096	601303.2382	122231.3789	185779.4988	175015.9212	180922.0941	55717.48037	60216.16694	99858.54599	202413.2469	112316.6219	58797.3067	85947.45318	146108.2559	77493.37017	130540.1841	68727.25826	103071.5208	159347.1259	77587.6424	84349.67629	15181.13192	155325.1639	299221.1163	64306.13379	159588.2317	30353.89579	15525.86151	0	118736.3042	119862.48	84035.67239	111004.9353	30221.1217	67905.09168	9577.109107	5828.192496	93173.20784	90897.90331	72042.63425	90903.75859	61100.03646	64361.68823	39827.89724	46276.32779	28747.74454	17486.78872	36325.11758	57920.57874	67860.0613	71320.56409	40824.87371	59911.12428	54764.57902	58998.56775
pyruvate	0	2702479.301	2461460.596	1031923.107	1087866.181	5888097.005	6086679.188	17798387.59	21128267.52	1784978.286	1446883.102	3870319.381	2692989.544	1001685.987	770809.6631	1478866.183	480525.6187	11759131.36	15612025.48	725863.1502	1229577.979	20608318.33	1066612.927	7098938.045	3361.379049	5629122.955	8847321.483	6558641.104	3412695.978	11135396.84	7950006.82	1252527.257	11550635.04	7366345.714	24872515.19	26436934.79	68069772.62	110327594.1	18318811.91	11449044.25	15402695.88	13736111.07	13426479.54	15922942.89	33410627.52	28934972.03	77852762.96	115530242.2	15612442.42	18834045.87	107203502.6	68277431	36636383.97	34451067.38	26125152.09	24563600.39	25291731.16	26228916.74
pyruvate	1	0	0	0	0	0	0	4391.683003	86344.18315	0	0	0	0	0	0	0	0	0	63213.75759	0	0	39157.82535	0	0	890.5800582	0	0	0	0	0	0	0	0	0	0	0	142157.4971	0	4057.751626	23882.38773	0	0	0	0	45988.08559	48690.42971	236240.0406	343133.766	21575.80473	0	342332.4486	194166.9196	131984.7596	86509.0034	2963.1641	31571.42751	0	34985.30568
pyruvate	2	0	1443.40303	0	1847.365852	0	11285.25864	0	10730.03546	0	122.3331088	0	2429.926663	0	0	0	0	2315.849999	15184.485	0	394.5043853	1713.00037	0	2104.578589	0	0	16270.2589	0	685.4785174	859.6977721	0	0	0	0	12818.30619	0	0	9078.949434	9092.11083	2989.838115	0	0	0	11253.36688	31688.69497	26659.32822	15593.30558	41256.04394	9716.382285	6334.318049	2517.01381	0	29625.53358	20339.59467	12433.54243	9460.578435	13878.34432	7706.064572
pyruvate	3	3626.241626	1272.8668	0	0	0	11757.61724	7356.023282	15215.85262	0	780.3435025	0	899.6448407	0	0	0	0	0	17333.61901	0	1263.491267	4350.114546	0	3235.585645	0	6154.439115	14450.24899	1579.352125	2177.174618	0	9059.639738	0	0	587798.1037	8385.68405	24418.18708	16253.92911	5656.191227	12262.40194	3554.983704	8537.978746	6931.361084	3030.006102	5170.48297	14938.98811	22100.13865	43098.4328	35082.49087	0	3770.915437	13588.46474	10446.27535	24906.17631	20724.9053	18990.2119	18485.05566	16925.71137	11228.59371
