Compound	C_Label	BAT-xz971	BAT-xz972	Br-xz971	Br-xz972	Dia-xz971	Dia-xz972	gas-xz971	gas-xz972	gWAT-xz971	gWAT-xz972	H-xz971	H-xz972	Kid-xz971	Kid-xz972	Liv-xz971	Liv-xz972	Lu-xz971	Lu-xz972	Pc-xz971	Pc-xz972	Q-xz971	Q-xz972	SI-xz971	SI-xz972	Sol-xz971	Sol-xz972	Sp-xz971	Sp-xz972	BAT-xz981	BAT-xz982	Br-xz981	Br-xz982	Dia-xz981	Dia-xz982	gas-xz981	Gas-xz982	gwat-xz981	gwat-xz982	H-xz981	H-xz982	Kd-xz981	Kd-xz982	Liv-xz981	Liv-xz982	Lu-xz981	Lu-xz982	Pc-xz981	Pc-xz982	Q-xz981	Q-xz982	SI-xz981	SI-xz982	sol-xz981	sol-xz982	Sp-xz981	Sp-xz982
Glucose	0	0.995216975280795	0.967695747463595	1	0.990780412063225	0.997921768446822	0.977141078231067	0.999229832909748	0.979467187093504	0.998168475233136	0.974483120012727	0.996780810900273	0.980253269939179	0.993846151866578	0.967583266712015	0.993067539758117	0.969609982564059	0.997401819701339	0.973862815532158	0.996880148414694	0.97824245675728	0.996707459819181	0.990225530820005	0.994724871854726	0.978267477764974	0.997271360479592	0.985844243352581	0.996818162243926	0.984263890874922	0.997712993367138	1	0.998767089913081	0.99824344647998	0.989882582095862	0.993238511399535	0.997921663016964	0.995323332528984	0.99442418440805	0.999391418634322	0.995604384949307	0.993683986013548	0.98833873555895	0.985504559282051	0.991421143580329	0.99268574881553	0.98483679990036	0.98566235404899	0.990020203013735	0.989840238980567	0.993348814101453	0.998057137448165	0.991948277133742	0.991972463186863	0.997076690514886	0.993481770015042	0.98729274513176	0.987857430033117
Glucose	1	0.002133924943056	0.019546688366085	0	0	0	0.009695783641059	0	0.004794255080846	0	0.011695856862788	0	0.008023772601868	0.003597814449413	0.028659522301041	0.004147257778399	0.014205988327774	0	0.012024895439479	0	0.008918115420333	0.000399842532899	0	0.002668773082966	0.004955236394317	0	0.002106071786961	0	0.003595608957686	0	0	0	0	0.006589218758359	0.0044535015571	0.000370795966239	0.003294359643425	0.001946277843717	0	0	0.003125012853868	0.008197826128905	0.01087030113108	0.006454988826211	0.004904390130222	0.011491716518713	0.010479046082114	0.006540833521369	0.007136357245168	0.005321098198635	0.001212582184188	0.004332522641765	0.004437527690197	0	0.003269400265313	0.008835787479725	0.008237969771086
Glucose	2	0.000812212997259	0.005970387037596	0	0.004628857780401	0.0009644745638	0.006131938171777	0.000621624134241	0.011593515185367	0.000529524103516	0.006935409623296	0.001797277675904	0.005367141599002	0.001098011195222	0.003442598653945	0.001178148620299	0.008865606079973	0.001453864188629	0.007433554998245	0.001058346245382	0.005691284087436	0.001116729076352	0.004146674386123	0.00158264286657	0	0	0.007117276539258	0.001779974734827	0.005677779831055	0.00136065229332	0	0	0	0.002005909583694	0.00129457163768	0.00083995034387	0.000589613388238	0.001813755916914	0	0.003196078388217	0.001551984618129	0.002095997327867	0.002059590706452	0.001013016788292	0.001180246721224	0.002045958165977	0.002333619448007	0.002145061408965	0.001410279820793	0.000736074625208	0.000159701585973	0.002899804425718	0.001454747314435	0.001391619936169	0.001438868753413	0.001969216718469	0.002141911158657
Glucose	3	0.00177249732206	0.006787177132723	0	0.004590730156374	0.001113756989377	0.007022489596586	0	0.004145042640284	0.000731663359078	0.006885613501189	0.001248320947927	0.006355815859951	0.001458022488787	0.000314612333	0.001607053843186	0.007309660281385	0.001144316110032	0.006678734030119	0.001741133063655	0.006769731960168	0.001314540208193	0.005627794793872	0.000911475624567	0	0.00138652410461	0.004932408321199	0.001401863021247	0.006262955489623	0.000926354339542	0	0	0	0.001349855695342	0.001013415405684	0.000867590672928	0.000792694439353	0.001815781831319	0.000608581365678	0.001199536662476	0.001639016514455	0.001367440984277	0.001565548880417	0.00108935099271	0.001229614333025	0.00162552541495	0.001497411363451	0.001293902055931	0.001613123953473	0.000594013074704	0.000570578781674	0.000819395798774	0.002135261808506	0.00099614714851	0.0013410473663	0.001902250670046	0.001574990923162
Glucose	4	6.43894568307397E-05	0	0	0	0	8.71035950974567E-06	0	0	0	0	0	0	0	0	0	8.7627468081459E-06	0	0	0	0	0.000120490470174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14998124589613E-05	0	0	2.75690574380908E-05	0	0	0	0	0	0	0	0	0	0
Glucose	5	0	0	0	0	0	0	0	0	0.00057033730427	0	0.000173590475896	0	0	0	0	0	0	0	0	0.000378411774782	0	0	0	0.016777285840709	0	0	0	0.000199764846714	0	0	0.001232910086919	0	0.000172433866743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000230925185619	0.000224475785891	0	0
Glucose	6	0	0	0	0	0	0	0.000148542956011	0	0	0	0	0	0	0	0	0	0	0	0.00032037227627	0	0.0003409378932	0	0.000112236571172	0	0.001342115415798	0	0	0	0	0	0	0.00175655352002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000304617214815	0.00024443781404	0	0.000187698113978
lactate	0	0.996154226472856	0.99114323950719	0.995850071566183	0.987971888205188	0.996003532365183	0.990843161715308	0.996743670645822	0.995649117843587	0.994927448012465	0.991932888220431	0.997114672849193	0.993091505108486	0.995417470003463	0.985666253593167	0.99422975557812	0.987563007924972	0.996553165904958	0.992825524315748	0.996339183506764	0.9913291149818	0.996067350984959	0.995698954603696	0.995863371877469	0.994334670900584	0.995844224310773	0.990483063043155	0.995125545221531	0.990734415069986	0.993777643929305	0.993084423436006	0.992593092213278	0.9929654424595	0.994558733920127	0.994363995999365	0.997219098354383	0.996281999393537	0.991531097774721	0.997021848566368	0.99480641109094	0.995265783553931	0.99289807584169	0.994371793692585	0.991443308146279	0.99094384291784	0.994679448159428	0.994680825186121	0.993834060726115	0.993418292552955	0.996291992112015	0.993576927926397	0.992432859460994	0.992712455898912	0.995546218282414	0.995749521368459	0.992030743415078	0.992694079358769
lactate	1	0.00188012712723	0.005230266256431	0.002986122416873	0.006974576726954	0.002525199957995	0.005392122030816	0.002089987889359	0.002904013057986	0.001523198519199	0.004121640932562	0.002394211243485	0.005656525230225	0.0031596058334	0.011464443692669	0.002949923695079	0.007471569586015	0.002274223991544	0.004712170342904	0.001612260249464	0.005312902905505	0.003050914958221	0.002806011209844	0.002818043070242	0.00121261891896	0.002444618345497	0.005440480391587	0.003013725098982	0.005433112147077	0.004860423748065	0.005632822217808	0.006111794322963	0.00568146950017	0.004435785199452	0.004700496813077	0.00267083099739	0.003425779520792	0.006973992101083	0.001256722287568	0.004389151218811	0.003999738508775	0.005762646377993	0.004172650596699	0.006927852551372	0.00725125591405	0.00457501681444	0.004450074608861	0.004960489461658	0.005572194455217	0.003457130152323	0.006196287826091	0.005993649225868	0.00668567305194	0.003676547229606	0.003454296398758	0.006517543204631	0.005700089693737
lactate	2	0.000319849004672	0.001611237200763	0.000431309031345	0.002655771066377	0.00059856900374	0.001649598164236	0.000180661962668	0.000590277659137	0.000398578901387	0.001018139362781	7.88596284154872E-05	0.00044065283299	0.000437663633604	0.00155623678976	0.000230987821478	0.002053498377839	0.000375827661143	0.00125361490848	0.000294568760298	0.001317422487267	9.58490498781421E-05	0.000706432429633	0.000304914332902	0.00149217718993	0.000254497267095	0.001816983497209	0.000292636519382	0.001687295289349	0.000770584036286	0.000804983836529	0.000789698589058	0.000862405227955	0.000611932770655	0.000502737700045	0	0.000114179610309	0.00051660486183	0.000701807038132	0.000541796040911	0.000461204273394	0.000981401627375	0.000973173942137	0.001131482140343	0.001232317425424	0.000493519058165	0.00058198522257	0.00070188271504	0.000669653346962	0.000138374567695	4.55350368646364E-05	0.000985374688464	0	0.000496366641913	0.000395452922891	0.000838462217081	0.001007324938685
lactate	3	0.001645797395242	0.002015257035616	0.0007324969856	0.002397764001481	0.000872698673082	0.00211511808964	0.000985679502151	0.00085659143929	0.003150774566949	0.002927331484225	0.000412256278906	0.000811316828299	0.000985260529533	0.001313065924405	0.002589332905323	0.002911924111174	0.000796782442355	0.001208690432868	0.001753987483474	0.002040559625429	0.000785885006941	0.000788601756826	0.001013670719388	0.002960532990526	0.001456660076635	0.002259473068049	0.001568093160105	0.002145177493587	0.000591348286345	0.000477770509657	0.000505414874702	0.000490682812376	0.000393548109766	0.000432769487513	0.000110070648227	0.000178041475362	0.000978305262366	0.001019622107931	0.000262641649337	0.000273273663899	0.000357876152943	0.000482381768579	0.000497357162006	0.000572583742685	0.000252015967967	0.000287114982448	0.000503567097187	0.000339859644866	0.000112503167966	0.000181249210647	0.000588116624675	0.000601871049148	0.000280867846068	0.000400729309893	0.00061325116321	0.00059850600881
pyruvate	0	0.998659977754015	0.998897696886768	1	0.998304723422382	1	0.996228490324609	0.999340392080739	0.994713412266175	1	0.999376512309656	1	0.998765141898801	1	1	1	1	0.999803098210782	0.993905440507102	1	0.998653389206913	0.997810499223267	1	0.999248317129923	0.790548301200925	0.998907872907687	0.996539720365611	0.999759253193436	0.999161878496523	0.999922801906602	0.99886172080808	1	0.926101650013966	0.999148219272246	0.999077213206228	0.997678211307221	0.999866459764283	0.998614699419198	0.997349424173592	0.999445989930015	0.999495645806219	0.999774377009723	0.998969604620301	0.997235617821262	0.996643411396726	0.99622596955804	0.996382291215639	0.997999698422627	0.999463746950928	0.996667613790737	0.997012162861497	0.994934769743504	0.996310627019896	0.998685492186023	0.997582878702167	0.998783531923821	0.997948472436116
pyruvate	1	0	0	0	0	0	0	0.000246583359957	0.004065061982394	0	0	0	0	0	0	0	0	0	0.004024365555671	0	0	0.001895937778234	0	0	0.209451698799075	0	0	0	0	0	0	0	0	0	0	0.002083559736006	0	0.000221200503693	0.002080443147273	0	0	0	0	0.001372645782142	0.001677105335124	0.003022994361245	0.002959332563931	0.00137919782379	0	0.003182654078428	0.002835296783233	0.003584311881495	0.002501804616356	0.000113272795032	0.001282186448408	0	0.001331108436723
pyruvate	2	0	0.000585754638933	0	0.001695276577618	0	0.001847098529526	0	0.000505167315411	0	8.44966918740825E-05	0	0.000901201437398	0	0	0	0	0.000196901789218	0.000966687011804	0	0.000320413302967	8.29397977937695E-05	0	0.000296241015184	0	0	0.001832640453535	0	0.000200692944102	7.71980933976116E-05	0	0	0	0.000514921297913	0	0	8.22798421382145E-05	0.000495638885907	0.000260450851376	0	0	0	0.00070601091363	0.000945839622235	0.000918260566881	0.000199536347564	0.000355809793144	0.000621103753583	0.000336142393173	2.34005987449295E-05	0	0.000804541011785	0.000588212669774	0.000475296695101	0.000384215299106	0.000548062988396	0.0002931975973
pyruvate	3	0.001340022245985	0.000516548474299	0	0	0	0.001924411145865	0.000413024559304	0.000716358436021	0	0.00053899099847	0	0.000333656663801	0	0	0	0	0	0.001103506925424	0	0.001026197490121	0.000210623200705	0	0.000455441854893	0	0.001092127092313	0.001627639180855	0.000240746806564	0.000637428559375	0	0.00113827919192	0	0.073898349986034	0.000336859429841	0.000922786793771	0.000238228956773	5.12603935791578E-05	0.000668461191202	0.000309681827759	0.000554010069985	0.000504354193781	0.000225622990277	0.000324384466069	0.000445896774361	0.000761222701269	0.00055149973315	0.000302566427285	0	0.000200110655899	0.00012633153209	0.00015254035527	0.000676377363216	0.000599355693974	0.000725938323844	0.000750719550319	0.000668405087783	0.000427221529861
citrate/isocitrate	0	0.997640580635713	0.993336488800962	0.996418353586222	0.979097263512563	0.9945156960424	0.985783586686948	0.999213302225692	0.996369012527972	0.99989514709784	0.993348917960156	0.996509447399473	0.990219718609157	0.995149781370109	0.949198688297515	0.99648702845695	0.99373864674191	0.998156748707615	0.985695239034929	0.992553287057261	0.976507718406563	0.999090403397087	0.997216562060455	0.99504752729808	0.994873394841564	0.998708004479484	0.992678998311775	0.993785651715289	0.982567354373673	0.998195206720049	0.996791254184953	0.983819914139106	0.989656431385069	0.98721926427008	0.983857912525822	0.992290258647606	0.989355847052394	0.996615613430969	0.998343456578318	0.991011205033801	0.991699293678136	0.982928762270868	0.984146842514246	0.979248263436921	0.979559773191077	0.990507246767882	0.986958011286416	0.991613718264405	0.992236246376402	0.992694815141365	0.993567509198689	0.984813121296414	0.983852067235358	0.988099798404707	0.987295716324724	0.98687289073196	0.987069033993087
citrate/isocitrate	1	0.002280429098208	0.002019500813407	0.000185286278564	0.013534051221227	0.004897136830658	0.010283636673994	0	0	0.00010485290216	0	0.002660521001353	0.006444426454566	0.003011280857086	0.029115060307443	0	0	0	0.008915180880692	0.004751175694113	0.012034470525974	0	0	0.003959343791775	0.005126605158436	0	0.003776035064277	0.004718012619555	0.009009282874737	0	0	0.01215992678959	0.007681638519728	0.011242058344916	0.011739926746065	0.004158457425893	0.003458970333756	0	0	0.005791191802282	0.006553596216218	0.011887108970879	0.01185736018595	0.01218002389165	0.012216861988824	0.00705459602692	0.010138974169473	0.005623414094728	0.005385873006488	0.002658365476384	0.002580439512734	0.010317722600098	0.010879516167834	0.00668344858153	0.007188514812759	0.008543679471596	0.007702492369742
citrate/isocitrate	2	0	0.004203153554414	0.003088391032116	0.006780314685962	0.000516025778569	0.003523546013625	0.000570274101079	0.003230882866213	0	0.002806209629448	0.000716366169707	0.003036738798129	0.001338825787773	0.019984319144923	0.001655438356647	0.003978113078452	0.001333247887044	0.004838269075289	0.002301639513167	0.010583719866284	0.00084050086965	0.002402448166206	0.000852880723579	0	0.001274220858956	0.003105596066273	0.001231601517772	0.008197405647924	0.001804793279951	0	0.003508426518056	0.00226721571568	0.00115429874212	0.00376344286667	0.002311256763653	0.002961003733898	0.00338438656903	0.001656543421682	0.00290912024541	0.001721658493485	0.004887489740463	0.003868466496346	0.006282873108113	0.006415133678358	0.002277948219454	0.00248826101869	0.002581699385368	0.002208770842709	0.003059682728263	0.003201006070518	0.004529070728492	0.005023103012797	0.002250538826909	0.001608737706049	0.004440029556201	0.005086764430505
citrate/isocitrate	3	0	0.000126941453909	0.000307969103099	0.000588370580249	7.11413483739116E-05	0.000409230625434	0.000216423673228	0.000211483191829	0	0	0.000113665429466	0.000299116138148	0.000179802571408	0.000760161607388	0.001083828333989	0.000967483360318	0	0.000188145102331	0.000258410117961	0.000771331660639	6.90957332634832E-05	0.000380989773339	0.000140248186567	0	1.77746615601515E-05	0.000362716870211	0.000264734147384	9.11760859773531E-05	0	0.003208745815047	6.445196521605E-05	0.000284000538694	0.000173573200729	0.000523052748217	0.000358479638846	0.000156779422338	0	0	0.000224033526819	2.54516121619615E-05	0.000121905788476	0.000127330803457	0.001095885796073	0.001174370306904	0.000160208985744	0.000414753525421	0.000181168255499	0.000169109774402	8.7672530985255E-05	0.00010509008239	0.00024923598672	3.69212323805908E-05	0	0.000337497624219	9.60756311609241E-05	8.93646895145915E-05
