Compound	C_Label	bat-xz969	bat-xz970	Br-xz969	Br-xz970	dia-xz969	dia-xz970	gas-xz969	gas-xz970	gwat-xz969	gwat-xz970	H-xz969	H-xz970	Kid-xz969	Kid-xz970	Liv-xz969	Liv-xz970	Lu-xz969	Lu-XZ970	Pc-xz969	Pc-xz970	q-xz969	q-xz970	si-xz969	si-xz970	sol2-xz969	sol-xz969	sol-xz970	Sp-xz969	Sp-xz970	BAT-xz979	Br-xz979	Dia-xz979	Gas-xz979	gwat-xz979	H-xz979	Kd-xz979	Liv-xz979	Lu-xz979	Pc-xz979	Q-xz979	SI-xz979	Sol-xz979	Sp-xz979
Glucose	0	203286.917004701	6358452.97147444	449362.559195594	812459.135595037	10208.1927044585	10338800.2676872	4722.95916417703	4345476.72145886	7272.38754042971	16322.5776870956	5642850.97525511	7076.05506323568	74254.6282150457	15930269.9104213	11269324.8814688	12136097.3138169	11269138.643558	6368202.06103363	892425.116909713	4958475.11295662	41531.9036600799	3365724.25901798	17133.5742449987	8933.9741729897	191786.656924557	8855.73194928173	1712369.83314102	2940397.86554513	7253146.90932541	2024226.03751823	2330157.69514999	24492276.5516932	6983925.71579128	3100653.30049792	10607818.1633621	40636277.9725566	41504699.3432803	12896199.6145462	14304619.1404733	3209875.33410799	8342255.78698246	3641263.79127867	29151350.3488534
Glucose	1	0	177745.902804555	0	2310.95454915912	394.213227162725	223098.023762794	0	16840.5336694559	0	0	119487.825453384	0	0	238160.86281456	275957.227847699	307100.810570614	294627.034704458	137054.016350568	0	112901.26482774	736.538178309131	32515.1290569599	0	0	0	0	22301.6314136714	50215.4140331997	139707.398759767	0	8817.81406154662	283374.19264866	93613.7624558988	29910.7850812255	140971.939356346	826328.514563465	692773.538056878	166896.921529597	225977.609078985	0	106470.717168793	27598.0852377659	433452.447396616
Glucose	2	0	16895.786779745	0	0	0	37428.2759958378	0	5315.92118235436	0	0	12558.7907811169	0	0	110236.522781423	34035.3866296709	32165.2122456039	29434.7288881122	24424.9965993302	4624.57218610617	18105.242052084	0	8274.53381799291	0	0	0	764.005746555104	3657.06822752593	7081.5985367181	26787.9136785947	0	3120.78270689263	34532.1311236266	644.164216643571	446.279633408349	15640.9916989485	63043.8425592402	41147.3333407718	10659.7179722802	18007.0536410073	3592.36990810236	14711.8860117271	3369.41798784401	39102.8049871995
Glucose	3	0	0	0	0	0	0	0	382.773368003404	0	0	1858.99068000764	0	0	104364.82088599	384.277487580121	280.018149287554	0	2556.89968762119	0	332.065977094498	0	0	0	0	0	0	0	464.391507629554	0	0	0	0	0	499.584919664499	0	1121.40381565774	0	0	0	0	5.96951604367577	1122.35404147848	1766.46175719698
Glucose	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1123.94480775721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucose	5	0	0	0	1514.7388416927	0	0	0	0	0	0	0	0	0	1758.25065494373	1285.35506130312	0	0	0	0	0	0	0	0	0	674.915236606536	0	0	0	1669.76740641827	0	0	0	0	0	0	0	0	0	0	0	0	1492.27014711224	0
Glucose	6	0	0	0	31265.7663235257	0	0	0	0	0	0	1059.93165874744	0	0	0	0	1746.69920497831	0	0	0	0	0	852.580908525821	0	0	2450.9453753562	0	923.444486659039	0	0	1697.79401960087	793.242829314415	0	0	0	1314.08740745093	0	0	1495.46537444769	0	0	0	0	0
lactate	0	1867153.77975823	46218479.0681129	96500032.9694136	115550131.837917	460328.248462976	72348649.4287778	447186.314062745	143660666.728832	532641.9913425	477455.002527849	171767631.806367	722281.846979546	727668.834310764	56214913.2063723	10048001.9116873	15927139.1899608	62042311.9249982	44033107.2538562	9915415.05112251	19778557.3042902	2475665.42665892	116593783.147964	400220.883654754	728392.676599104	52571930.4850928	771022.915988479	110345379.447255	29875281.4377947	27689309.5024738	52207412.5946313	234225074.908388	111385641.303863	99314326.8037576	4601573.33721757	184255379.796196	97955371.3150548	30915155.724931	34872702.2332045	27585336.7594144	112429922.693077	129078567.740587	64022335.6247908	43719716.2888829
lactate	1	0	561511.493788989	838528.895982566	1010865.41114574	0	664003.191885518	0	883125.771053019	0	0	1111850.0195726	0	0	357807.41727572	70478.0669529327	143388.178625694	624792.185354599	471462.078869502	106948.135538134	202470.648565682	0	754480.111275452	0	0	276477.68800379	0	944904.753820269	380656.031721282	350361.161002231	0	1867249.70171304	1027091.47755777	502590.455633493	77874.3526591741	1636759.9697429	1056454.39937919	501706.89174285	358854.970292026	337003.617654522	708009.087797321	1575640.54499439	428921.051773155	578035.614905815
lactate	2	1270.23853843212	78087.817901395	109123.186542048	145135.981416879	0	53241.2580451451	0	82452.8608321524	0	0	71524.429955936	0	653.653609568191	110336.281243364	7835.85348353414	25886.3364062278	94871.215092927	50219.4785458664	12095.8307057889	21472.0133725287	1106.14825132004	104263.753830096	1000.25140181444	0	150422.289964627	1546.41063919494	96181.2181966256	49505.7639617656	47212.7013279659	26555.3898474476	128151.206100707	93064.455388296	16276.517498147	6083.25926008799	106438.086605534	100790.690667156	35539.8248516582	24002.7168570379	27406.8130426203	21244.2662553361	148149.533711541	29586.7983291286	52609.3589714038
lactate	3	0	28176.3658976405	46758.9866270066	44395.6954382387	9187.14761732231	43795.0646389361	6593.03890781349	46577.1983206643	0	0	47784.3175708565	0	0	142594.491888998	34189.7697175221	35703.4489838061	44236.887029349	27875.2318106923	14626.1529625745	39774.3994914181	0	53398.73513973	0	9643.6504628461	326664.179544135	0	42961.9617346994	23704.8020134459	41498.2798430796	0	0	0	0	0	0	0	0	7593.39810875716	0	0	0	0	0
pyruvate	0	2556.80657680904	891774.172379444	449484.133519589	445868.465314473	2606.99526812763	2991114.81095766	769.39003854105	16548798.3678894	1829.83892730907	1324.43350301027	1282231.76344157	1720.69022086905	2020.27002330432	461912.829261351	99483.2608095834	55548.5169162832	4931624.12544382	346566.965971915	37008.4152334205	507997.225409841	269.178577130433	7846811.67439783	1393.26489653193	3633.32957148775	671454.060779318	1328.41782174101	5557658.3865539	798105.222424744	5597303.58592285	30702630.6902314	9169792.9121969	18110339.0562858	103976883.031393	20190411.6791064	12176288.6997232	14987576.3061527	20711738.2714858	24978919.4708062	33928510.2074806	179016177.194786	375703229.761945	51622358.7262866	104071225.310171
pyruvate	1	0	0	42.3918920521482	0	0	0	0	61996.9477574359	0	0	0	0	0	0	1487.60108833438	792.574934970931	0	0	0	0	0	7485.0326189215	0	0	0	0	0	0	0	226379.702478421	0	34535.4586196844	342496.22071437	195832.770069472	0	57456.8853413041	105467.192765072	133230.566963131	299946.570668821	897936.742953196	4140304.49204493	349889.758428824	1315763.9614872
pyruvate	2	0	0	0	0	0	2318.58028741865	0	3625.45407511417	0	0	0	0	0	0	0	0	8795.04447187638	0	0	899.871473660723	0	5756.35631428044	0	0	0	0	7390.43919326971	0	12069.6335835573	18400.3643458726	0	2042.27972840455	19513.0001384859	24940.0344153104	969.055811805561	19091.1714280857	15295.7032917536	28413.947275416	28789.7418032271	17018.6430088948	307541.183343705	19662.531018613	113856.890769392
pyruvate	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3604.08266950783	0	0	0	0	7589.81254486312	0	0	24214.8615530663	3337.87697576102	0	13718.3157964412	3519.21818676198	6547.28320503215
citrate/isocitrate	0	19007.2884461816	4728510.51641895	2925551.8402192	4809648.6962589	11720.2534812889	17260107.8020238	13396.9101114953	7811518.92563875	39149.6340276502	26301.5124374481	12265905.1311486	50027.9014155946	22493.7533010653	21608454.3030446	723958.753080651	1658891.90450955	7074222.01855568	4516191.63062476	903575.459416769	31269283.8512542	34355.8570061347	9208100.77039105	10365.969558208	13807.0028958556	278966.905733229	18231.136280455	16609920.1057901	1986602.94019399	31590377.5330093	219317.31741184	18783275.8260912	38101940.8115264	15086410.6768805	716721.739721737	35056508.3848662	86628012.2594216	39408497.466172	3564509.05552787	42346333.2109537	13462222.2547811	29963510.5347215	9233181.72767978	53520655.4738788
citrate/isocitrate	1	0	142277.946434424	30139.9338425386	66193.6754335422	0	716575.392179659	18.2778792435045	122352.624562972	1854.5666342987	0	579776.692244151	991.717411280952	0	283299.379999904	0	3909.78974120625	266141.773662013	136132.240896752	4540.28800928373	732434.286309381	0	240938.431612842	0	867.148122737936	0	130.357954636465	576580.271546892	39707.507707305	1194182.96735292	5647.69025012204	442694.658773966	1638106.82450961	889069.555103102	13194.9883748924	2098293.55274146	3410295.01518252	1302508.49579389	101595.951081784	742244.231882486	408881.28312649	987066.356610607	333900.881139201	1864842.67989811
citrate/isocitrate	2	0	117956.28219137	9923.67414958999	23858.4577438792	0	482456.123202442	0	125991.875361098	0	0	415224.201389502	0	0	148469.051138086	9161.9772817709	24130.8501422834	208882.8832522	106548.235782875	14366.7255657222	501687.279655675	0	171521.922336081	0	0	2344.66512091307	0	388392.716273803	58742.8630338061	1374938.12741792	2409.06371456958	116064.337613397	1054886.83600946	302673.61171958	15074.3855163762	1497997.05481351	2923153.12988629	989399.293759778	118669.617243737	525625.658693624	279493.367177556	830590.971706973	227311.731770376	2536176.81258302
