Compound	C_Label	bat-xz969	bat-xz970	bkbk1123	Br-xz969	Br-xz970	dia-xz969	dia-xz970	gas-xz969	gas-xz970	gwat-xz969	gwat-xz970	H-xz969	H-xz970	Kid-xz969	Kid-xz970	Liv-xz969	Liv-xz970	Lu-xz969	Lu-XZ970	Pc-xz969	Pc-xz970	q-xz969	q-xz970	si-xz969	si-xz970	sol2-xz969	sol-xz969	sol-xz970	Sp-xz969	Sp-xz970	BAT-xz979	Br-xz979	Dia-xz979	Gas-xz979	gwat-xz979	H-xz979	Kd-xz979	Liv-xz979	Lu-xz979	Pc-xz979	Q-xz979	SI-xz979	Sol-xz979	Sp-xz979
Glucose	0	1	0.9702977449	0.9411499952	1	0.9585966196	0.9628185122	0.9754204856	1	0.9948399391	1	1	0.9766407365	1	1	0.9722596111	0.9730884558	0.9725594983	0.972047256	0.9748882522	0.9948446867	0.9741957995	0.9825747497	0.98777876	1	1	0.9839627508	0.9205793577	0.9845438473	0.9807343777	0.9773402493	0.9991619655	0.9945657534	0.9871864579	0.9866833172	0.990146399	0.9853306004	0.9785561525	0.9826244118	0.98630603	0.9832296854	0.9988820893	0.9856809394	0.990861623	0.9839895037
Glucose	1	0	0.02712396387	0	0	0.00272662725	0.03718148783	0.0210483206	0	0.003855419454	0	0	0.02068044653	0	0	0.01453548428	0.02382847203	0.02461036712	0.02541377914	0.02098117321	0	0.022181807	0.01742525029	0.009542598083	0	0	0	0	0.01282254193	0.01674874799	0.01882516177	0	0.003763649088	0.01142168899	0.01322567585	0.009551553582	0.0130944897	0.01989869378	0.01640142444	0.01276433717	0.01553259764	0	0.01258006937	0.007509997929	0.01463097433
Glucose	2	0	0.002578291274	0.05885000483	0	0	0	0.003531193775	0	0.001217010479	0	0	0.002173622293	0	0	0.006727978833	0.002938902034	0.002577647647	0.002538964898	0.003739146782	0.005155313292	0.00355715222	0	0.002428424947	0	0	0	0.0794206423	0.002102667282	0.002361982103	0.003609592713	0	0.001332022983	0.001391853147	0.00009100699405	0.0001425126027	0.001452848032	0.001518149375	0.000974163766	0.0008152591018	0.001237716958	0.001117910693	0.001738285902	0.0009168868743	0.001319895964
Glucose	3	0	0	0	0	0	0	0	0	0.00008763094559	0	0	0.0003217462298	0	0	0.006369615878	0.00003318175587	0.00002244002365	0	0.0003914278227	0	0.00006524128339	0	0	0	0	0	0	0	0.0001548922075	0	0	0	0	0	0.0001595348339	0	0.00002700435812	0	0	0	0	0.0000007053293895	0.0003054152654	0.00005962604843
Glucose	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00009007040485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucose	5	0	0	0	0	0.001787195773	0	0	0	0	0	0	0	0	0	0.0001073099268	0.0001109883853	0	0	0	0	0	0	0	0	0	0.003462657223	0	0	0	0.0002249962552	0	0	0	0	0	0	0	0	0	0	0	0	0.0004060769295	0
Glucose	6	0	0	0	0	0.03688955739	0	0	0	0	0	0	0.0001834484803	0	0	0	0	0.0001399765393	0	0	0	0	0	0.000250216966	0	0	0.01257459196	0	0.0005309434738	0	0	0.0008380344775	0.0003385745753	0	0	0	0.0001220619089	0	0	0.0001143737349	0	0	0	0	0
lactate	0	0.9993201551	0.9857575385	0.9812614144	0.9898003309	0.9897182728	0.9804327021	0.9895904424	0.9854708266	0.9930038288	1	1	0.9928834256	1	0.9991025217	0.9892524208	0.9889273532	0.9872937965	0.9878371858	0.9876733075	0.9866982798	0.9868419593	0.9995533911	0.9922374757	0.9975069823	0.9869333661	0.9858685951	0.9979983536	0.9902714394	0.9850353001	0.9843904229	0.9994916069	0.9915528029	0.9900435714	0.9948026608	0.9820815159	0.9906278958	0.9883239376	0.9829187383	0.9889275051	0.9869619418	0.9935555084	0.9868214143	0.9928892393	0.985780387
lactate	1	0	0.01197603641	0	0.008600786478	0.008658336887	0	0.009082287197	0	0.00610429627	0	0	0.006426923656	0	0	0.006296582766	0.006936472427	0.008888367054	0.009947936093	0.01057500912	0.0106425743	0.01010217927	0	0.006420783518	0	0	0.005184718676	0	0.008479849318	0.01255083167	0.01245578809	0	0.007904690291	0.009129231584	0.005034302086	0.01662017677	0.008799852067	0.01065913138	0.01595130587	0.01017648555	0.01205748357	0.00625675365	0.01204596439	0.006651914408	0.01303339135
lactate	2	0.0006798448992	0.001665473566	0.002539962691	0.001119275951	0.001243129113	0	0.00072823806	0	0.0005699263993	0	0	0.0004134389016	0	0.0008974782743	0.00194166329	0.0007712070433	0.001604645947	0.001510538715	0.001126435121	0.001203674812	0.001071336166	0.0004466089092	0.0008873063479	0.002493017726	0	0.00282083253	0.002001646436	0.0008631581482	0.00163228337	0.001678472012	0.000508393118	0.0005425067647	0.0008271969772	0.0001630371311	0.001298307348	0.0005722521529	0.001016930985	0.001129955809	0.0006806741485	0.0009805746312	0.0001877379016	0.001132621278	0.0004588463292	0.001186221656
